userID,first_name,last_name,phone_number,email,password,marital_status,hijos,birth_year,personality,religion,color,weight,height
1001,James,Thompson,9808599272,james.thompson@email.com,26165,single,independent,1989,thrifty-protector,none,black,69,1.77
1002,James,Jackson,9142655247,james.jackson@email.com,93670,single,independent,1990,hunter-ostentatious,Catholic,red,40,1.87
1003,John,Wilson,7254695987,john.wilson@email.com,91537,single,independent,1989,hard-worker,Catholic,blue,60,1.69
1004,James,Thomas,7935034518,james.thomas@email.com,93817,single,independent,1940,hard-worker,none,green,44,1.53
1005,John,Thomas,9223577152,john.thomas@email.com,63659,single,independent,1992,thrifty-protector,Catholic,black,65,1.69
1006,David,Garcia,9084896202,david.garcia@email.com,37692,single,independent,1989,hard-worker,none,blue,75,1.8
1007,Maria,Rodriguez,9435388945,maria.rodriguez@email.com,57440,single,independent,1989,thrifty-protector,Catholic,purple,60,1.59
1008,Daniel,Rodriguez,8394061690,daniel.rodriguez@email.com,65770,single,independent,1989,hard-worker,Catholic,green,68,1.72
1009,Daniel,Martinez,7007882470,daniel.martinez@email.com,24118,single,kids,1991,thrifty-protector,Catholic,green,75,1.78
1010,William,Taylor,7497374512,william.taylor@email.com,12622,married,kids,1987,hard-worker,none,green,40,1.67
1012,Mark,Johnson,9697705905,mark.johnson@email.com,76970,single,independent,1988,hard-worker,Catholic,red,98,1.84
1013,David,Jones,6025804231,david.jones@email.com,59770,widow,independent,1982,thrifty-protector,none,blue,80,1.75
1014,David,Williams,9964986128,david.williams@email.com,62738,single,independent,1990,hard-worker,Catholic,blue,53,1.69
1015,Robert,Taylor,9754993652,robert.taylor@email.com,27973,single,independent,1989,thrifty-protector,Catholic,black,87,1.67
1016,James,Taylor,8770659179,james.taylor@email.com,86002,single,independent,1991,thrifty-protector,Catholic,green,70,1.67
1017,Robert,White,8818113944,robert.white@email.com,73637,single,independent,1991,hunter-ostentatious,none,orange,79,1.79
1018,Thomas,Williams,9535752934,thomas.williams@email.com,70850,single,independent,1989,thrifty-protector,Christian,blue,65,1.83
1019,James,White,7352565571,james.white@email.com,43268,single,independent,1989,thrifty-protector,Catholic,purple,59,1.6
1020,Daniel,Johnson,6595135444,daniel.johnson@email.com,59891,single,independent,1982,hard-worker,Catholic,blue,40,1.68
1022,Thomas,Brown,7043430739,thomas.brown@email.com,15802,single,independent,1990,hard-worker,Catholic,purple,46,1.54
1024,Richard,Smith,7197545370,richard.smith@email.com,72994,single,independent,1930,hard-worker,none,yellow,40,1.2
1025,Richard,Williams,7409147207,richard.williams@email.com,63267,single,independent,1990,thrifty-protector,Catholic,red,65,1.79
1026,James,Brown,6097407322,james.brown@email.com,41488,single,independent,1989,hunter-ostentatious,Catholic,red,49,1.55
1027,John,Smith,6325285494,john.smith@email.com,88861,single,independent,1989,thrifty-protector,Catholic,purple,60,1.65
1028,John,Davis,6089646273,john.davis@email.com,28160,single,independent,1989,hard-worker,Christian,blue,77,1.63
1029,Michael,Anderson,7137884576,michael.anderson@email.com,96968,single,independent,1990,conformist,Catholic,white,58,1.6
1030,Barbara,Smith,7927167996,barbara.smith@email.com,13902,single,independent,1991,hard-worker,Catholic,black,64,1.75
1032,Linda,Williams,6593562211,linda.williams@email.com,28280,single,independent,1989,hard-worker,Catholic,blue,40,1.75
1033,Mary,Smith,6728628248,mary.smith@email.com,15834,single,independent,1991,hard-worker,none,yellow,54,1.6
1034,William,Miller,7565194017,william.miller@email.com,89935,single,independent,1990,thrifty-protector,Catholic,yellow,50,1.58
1035,Daniel,Smith,6675780431,daniel.smith@email.com,81572,single,independent,1985,hunter-ostentatious,none,red,69,1.75
1036,Jennifer,Johnson,7200227698,jennifer.johnson@email.com,81219,single,independent,1991,hard-worker,Catholic,blue,76,1.7
1037,William,Smith,8724987742,william.smith@email.com,59081,single,independent,1990,thrifty-protector,Catholic,blue,52,1.5
1038,Maria,Martinez,6680747854,maria.martinez@email.com,39929,single,independent,1930,thrifty-protector,Catholic,blue,97,1.83
1040,Robert,Johnson,8703362329,robert.johnson@email.com,98891,single,independent,1994,thrifty-protector,Catholic,blue,73,1.64
1041,Robert,Smith,9700120541,robert.smith@email.com,22367,single,independent,1985,hunter-ostentatious,Catholic,white,40,1.62
1042,Michael,Davis,6659799213,michael.davis@email.com,85948,single,independent,1943,thrifty-protector,Christian,yellow,40,1.4
1043,Patricia,Johnson,7843426455,patricia.johnson@email.com,26781,single,independent,1989,hard-worker,none,white,60,1.64
1044,Patricia,Smith,7281162901,patricia.smith@email.com,52018,married,kids,1969,thrifty-protector,Catholic,orange,85,1.73
1045,Michael,Brown,7365532594,michael.brown@email.com,34502,single,independent,1991,thrifty-protector,Mormon,orange,68,1.6
1046,Thomas,Johnson,7153190460,thomas.johnson@email.com,66700,single,independent,1990,hard-worker,Catholic,black,82,1.84
1048,Robert,Moore,8406307447,robert.moore@email.com,92473,single,independent,1988,thrifty-protector,none,green,65,1.7
1049,Charles,Williams,8412003460,charles.williams@email.com,66907,single,independent,1991,hard-worker,none,blue,55,1.6
1050,James,Jones,6157990094,james.jones@email.com,30647,single,independent,1989,hard-worker,none,green,73,1.71
1051,James,Lee,8663096835,james.lee@email.com,33840,single,independent,1979,thrifty-protector,none,blue,74,1.76
1052,Charles,Jones,9121929351,charles.jones@email.com,13651,single,independent,1990,conformist,Catholic,blue,85,1.8
1053,Charles,Brown,7739549333,charles.brown@email.com,96755,single,independent,1990,thrifty-protector,Catholic,red,66,1.72
1054,Robert,Brown,7677265636,robert.brown@email.com,63516,single,independent,1992,thrifty-protector,Catholic,blue,59,1.7
1055,David,Lee,7123638264,david.lee@email.com,22768,married,dependent,1952,hard-worker,Catholic,blue,70,1.66
1056,David,Martinez,7936605300,david.martinez@email.com,96641,single,independent,1930,hard-worker,Catholic,yellow,61,1.62
1057,Jennifer,Jones,9072502878,jennifer.jones@email.com,83706,single,independent,1989,hunter-ostentatious,Catholic,yellow,69,1.83
1058,David,Moore,9104956619,david.moore@email.com,53974,single,independent,1991,hard-worker,Catholic,red,74,1.78
1059,John,Taylor,9443488252,john.taylor@email.com,15773,single,independent,1987,thrifty-protector,Catholic,blue,57,1.69
1061,Daniel,Miller,8004762849,daniel.miller@email.com,88322,single,independent,1990,hard-worker,Catholic,blue,40,1.76
1062,Robert,Anderson,7301430065,robert.anderson@email.com,21063,single,independent,1985,hard-worker,Catholic,yellow,88,1.68
1063,Richard,Johnson,6004814861,richard.johnson@email.com,64448,single,independent,1988,conformist,Catholic,red,80,1.78
1064,Thomas,Smith,9713680085,thomas.smith@email.com,66937,single,independent,1991,hunter-ostentatious,none,blue,94,1.77
1065,William,Johnson,6014585959,william.johnson@email.com,61178,single,independent,1989,conformist,Catholic,green,55,1.72
1066,Richard,Miller,9775006957,richard.miller@email.com,99822,single,independent,1986,thrifty-protector,Catholic,green,45,1.45
1067,David,Martin,6485394548,david.martin@email.com,32828,single,independent,1987,thrifty-protector,Christian,green,92,1.73
1068,Richard,Brown,7597489325,richard.brown@email.com,16698,single,independent,1988,thrifty-protector,Catholic,blue,72,1.57
1069,James,Smith,8315906339,james.smith@email.com,80027,single,independent,1983,thrifty-protector,Catholic,black,60,1.56
1070,Mary,Miller,9217063928,mary.miller@email.com,62601,single,independent,1991,thrifty-protector,Catholic,green,47,1.6
1071,Daniel,Garcia,6533690497,daniel.garcia@email.com,20628,single,independent,1930,hunter-ostentatious,none,blue,40,1.73
1072,Elizabeth,Smith,8708156618,elizabeth.smith@email.com,32944,single,independent,1984,thrifty-protector,Christian,red,50,1.54
1073,David,Brown,6152235240,david.brown@email.com,34311,widow,kids,1989,hard-worker,none,yellow,118,1.79
1074,James,Moore,9162703655,james.moore@email.com,83690,single,kids,1967,hard-worker,Catholic,black,68,1.7
1075,Linda,Johnson,9517499521,linda.johnson@email.com,72603,single,independent,1991,thrifty-protector,Catholic,white,68,1.6
1076,David,Rodriguez,8634671986,david.rodriguez@email.com,14790,married,kids,1987,thrifty-protector,Catholic,blue,65,1.71
1077,Michael,Taylor,7928266085,michael.taylor@email.com,54014,married,kids,1987,thrifty-protector,Catholic,blue,65,1.71
1078,James,Anderson,8431706776,james.anderson@email.com,99059,single,independent,1983,hard-worker,Catholic,blue,69,1.69
1079,Barbara,Johnson,8947942298,barbara.johnson@email.com,53346,single,independent,1992,thrifty-protector,Catholic,black,53,1.55
1080,William,Wilson,9513262785,william.wilson@email.com,50658,single,independent,1987,hard-worker,Catholic,white,80,1.82
1081,Robert,Davis,6678779450,robert.davis@email.com,72358,single,independent,1991,hard-worker,Catholic,green,52,1.54
1082,Michael,Moore,8040262104,michael.moore@email.com,80097,single,independent,1989,hard-worker,Catholic,black,63,1.69
1083,John,Miller,9897971588,john.miller@email.com,68657,single,independent,1981,hard-worker,none,yellow,40,1.6
1084,David,Miller,9429462186,david.miller@email.com,39212,single,independent,1991,thrifty-protector,Catholic,red,65,1.6
1085,Mark,Smith,6374631173,mark.smith@email.com,81542,single,independent,1988,thrifty-protector,Catholic,black,84,1.7
1086,William,Martin,7983370915,william.martin@email.com,21389,single,independent,1991,hunter-ostentatious,Catholic,red,49,1.59
1087,Michael,Jones,8480518358,michael.jones@email.com,14449,single,independent,1989,thrifty-protector,Catholic,black,53,1.55
1088,Michael,Lee,8613476782,michael.lee@email.com,50632,single,independent,1991,hard-worker,Catholic,blue,62,1.6
1089,David,Anderson,9215288537,david.anderson@email.com,78528,single,independent,1990,conformist,Catholic,white,54,1.6
1090,James,Martin,9192589133,james.martin@email.com,74050,single,independent,1988,thrifty-protector,Catholic,blue,50,1.54
1091,James,Davis,6585732283,james.davis@email.com,20291,single,independent,1989,thrifty-protector,none,red,40,1.7
1092,Mary,Davis,8491003087,mary.davis@email.com,24499,single,dependent,1990,thrifty-protector,Catholic,red,70,1.69
1093,Robert,Thompson,9706798225,robert.thompson@email.com,34643,single,independent,1990,thrifty-protector,Catholic,blue,80,1.67
1094,Michael,Miller,6712258302,michael.miller@email.com,69974,single,independent,1991,thrifty-protector,Catholic,green,59,1.71
